Date,Open,High,Low,Close,Adj Close,Volume
2024-02-15,89.339996,89.339996,58.500000,63.540001,63.540001,1977979
2024-02-16,63.400002,63.400002,57.500000,60.619999,60.619999,1194999
2024-02-19,61.000000,66.680000,61.000000,65.959999,65.959999,662031
2024-02-20,67.199997,67.199997,60.619999,62.240002,62.240002,864342
2024-02-21,61.779999,62.380001,60.419998,61.419998,61.419998,484374
2024-02-22,63.000000,64.139999,61.500000,63.779999,63.779999,392936
2024-02-23,64.320000,65.720001,63.380001,64.279999,64.279999,378176
2024-02-26,64.300003,64.839996,63.720001,64.820000,64.820000,235883
2024-02-27,64.680000,65.459999,63.580002,64.980003,64.980003,149257
2024-02-28,65.000000,65.559998,64.379997,64.739998,64.739998,397345
2024-02-29,64.300003,67.800003,64.000000,66.300003,66.300003,519653
2024-03-01,66.580002,67.379997,66.540001,66.779999,66.779999,215951
2024-03-04,67.099998,67.279999,66.160004,67.199997,67.199997,161836
2024-03-05,66.500000,66.860001,66.199997,66.699997,66.699997,186025
2024-03-06,65.620003,66.980003,64.699997,66.320000,66.320000,352246
2024-03-07,66.300003,66.500000,65.559998,65.900002,65.900002,230149
2024-03-08,65.800003,66.480003,65.160004,66.239998,66.239998,170719
2024-03-11,65.620003,65.900002,64.620003,65.400002,65.400002,144509
2024-03-12,65.260002,66.360001,65.260002,65.660004,65.660004,188884
2024-03-13,66.360001,66.680000,65.860001,66.540001,66.540001,142741
2024-03-14,66.440002,67.000000,66.000000,66.820000,66.820000,235380
2024-03-15,66.220001,67.120003,66.199997,66.800003,66.800003,396115
2024-03-18,66.860001,66.980003,63.680000,63.680000,63.680000,210548
2024-03-19,63.639999,63.779999,62.240002,63.160000,63.160000,151149
2024-03-20,62.860001,63.439999,62.639999,62.820000,62.820000,131781
2024-03-21,63.299999,64.419998,62.779999,64.400002,64.400002,138163
2024-03-22,64.220001,65.320000,64.059998,65.320000,65.320000,203503
2024-03-25,64.959999,66.000000,64.800003,65.699997,65.699997,197659
2024-03-26,65.580002,66.459999,65.580002,66.300003,66.300003,165316
2024-03-27,66.180000,66.739998,65.400002,65.400002,65.400002,173778
2024-03-28,65.099998,65.400002,64.379997,64.480003,64.480003,200405
2024-04-02,64.449997,64.699997,63.250000,63.250000,63.250000,146642
