Date,Open,High,Low,Close,Adj Close,Volume
2022-06-16,13.750000,17.549999,12.500000,14.590000,14.491878,8972000
2022-06-17,14.930000,16.680000,14.750000,16.629999,16.518156,2911300
2022-06-21,16.270000,16.840000,15.610000,15.660000,15.554682,1176000
2022-06-22,15.300000,16.860001,15.100000,16.520000,16.408897,727500
2022-06-23,16.670000,16.680000,16.000000,16.410000,16.299637,500900
2022-06-24,16.700001,18.490000,16.690001,18.129999,18.008070,763800
2022-06-27,18.150000,18.600000,17.590000,18.340000,18.216658,531600
2022-06-28,18.400000,18.600000,17.500000,17.530001,17.412106,398700
2022-06-29,17.219999,17.250000,16.230000,16.969999,16.855869,638300
2022-06-30,16.639999,17.049999,16.440001,16.900000,16.786341,447700
2022-07-01,16.770000,17.200001,16.129999,16.809999,16.696947,478500
2022-07-05,16.500000,17.799999,16.059999,17.700001,17.580963,420300
2022-07-06,17.570000,17.670000,17.180000,17.370001,17.253181,323100
2022-07-07,17.660000,18.879999,17.629999,18.360001,18.236525,439200
2022-07-08,18.350000,19.110001,18.200001,18.690001,18.564304,351700
2022-07-11,18.299999,18.700001,17.410000,17.959999,17.839212,322300
2022-07-12,17.650000,18.660000,17.650000,18.430000,18.306053,272200
2022-07-13,17.700001,18.860001,17.660000,18.610001,18.484842,245600
2022-07-14,18.219999,18.629999,18.080000,18.450001,18.325920,337400
2022-07-15,19.080000,19.100000,18.520000,18.950001,18.822556,324100
2022-07-18,19.250000,19.780001,19.040001,19.170000,19.041077,407500
2022-07-19,19.680000,20.280001,19.600000,19.850000,19.716503,371700
2022-07-20,20.000000,21.000000,19.500000,20.910000,20.769375,315100
2022-07-21,20.820000,22.110001,20.410000,21.830000,21.683187,359100
2022-07-22,21.660000,22.400000,21.430000,22.139999,21.991100,280300
2022-07-25,21.879999,22.139999,21.129999,21.250000,21.107088,296700
2022-07-26,21.120001,21.469999,20.540001,21.330000,21.186550,197300
2022-07-27,21.590000,22.480000,21.170000,22.139999,21.991100,209200
2022-07-28,21.870001,23.030001,21.809999,22.950001,22.795654,181600
2022-07-29,23.129999,23.799999,22.910000,23.660000,23.500877,229900
2022-08-01,23.280001,23.530001,22.680000,22.740000,22.587067,285900
2022-08-02,22.549999,22.820000,22.299999,22.480000,22.328815,218900
2022-08-03,22.830000,24.680000,22.540001,24.580000,24.414692,368200
2022-08-04,24.540001,24.940001,23.799999,23.920000,23.759130,224000
2022-08-05,23.430000,24.809999,23.090000,24.139999,23.977652,151400
2022-08-08,24.049999,25.490000,24.049999,24.660000,24.494154,286100
2022-08-09,23.010000,23.280001,20.330000,20.920000,20.779308,718900
2022-08-10,21.760000,24.520000,21.549999,23.660000,23.500877,579600
2022-08-11,23.950001,26.410000,23.920000,24.740000,24.573616,606500
2022-08-12,24.860001,25.260000,23.500000,23.889999,23.729330,251800
2022-08-15,23.510000,24.600000,23.500000,24.549999,24.384893,148900
2022-08-16,24.340000,24.950001,23.629999,24.410000,24.245836,215000
2022-08-17,23.830000,24.129999,22.969999,23.770000,23.610140,215000
2022-08-18,23.540001,24.950001,23.410000,24.740000,24.573616,164900
2022-08-19,24.360001,24.400000,23.770000,24.010000,23.848526,134100
2022-08-22,23.389999,23.790001,23.200001,23.430000,23.272427,191300
2022-08-23,23.580000,24.219999,23.430000,23.440001,23.282358,151900
2022-08-24,23.410000,24.040001,23.129999,23.959999,23.798861,191300
2022-08-25,24.030001,25.270000,23.870001,25.230000,25.060320,415200
2022-08-26,25.020000,25.510000,24.049999,24.150000,23.987585,235600
2022-08-29,23.790001,24.870001,23.740000,24.650000,24.484221,198100
2022-08-30,24.910000,26.860001,24.860001,26.219999,26.043661,568800
2022-08-31,26.160000,26.860001,25.500000,26.020000,25.919147,463800
2022-09-01,25.410000,25.900000,24.270000,25.440001,25.341396,400800
2022-09-02,26.270000,26.309999,24.379999,24.680000,24.584341,311300
2022-09-06,24.780001,24.780001,22.620001,22.980000,22.890930,364900
2022-09-07,22.820000,23.260000,22.360001,23.219999,23.129999,363100
2022-09-08,22.809999,23.730000,22.280001,23.650000,23.558332,166900
2022-09-09,23.879999,24.430000,23.639999,23.670000,23.578257,202300
2022-09-12,23.900000,24.450001,23.610001,24.020000,23.926899,189600
2022-09-13,23.000000,23.610001,22.510000,22.740000,22.651859,323100
