Date,Open,High,Low,Close,Adj Close,Volume
2023-11-07,12.750000,14.250000,12.300000,13.060000,13.060000,6533800
2023-11-08,13.110000,14.480000,13.100000,13.990000,13.990000,1182200
2023-11-09,13.660000,13.840000,12.760000,13.080000,13.080000,1441300
2023-11-10,13.110000,13.190000,12.815000,12.990000,12.990000,603000
2023-11-13,12.830000,13.500000,12.700000,13.350000,13.350000,456200
2023-11-14,13.610000,14.340000,13.407000,14.130000,14.130000,767000
2023-11-15,14.380000,14.850000,14.210000,14.310000,14.310000,788800
2023-11-16,13.850000,14.500000,13.745000,14.380000,14.380000,1078400
2023-11-17,14.380000,15.000000,14.030000,14.950000,14.950000,613400
2023-11-20,15.130000,16.299999,15.130000,15.620000,15.620000,897900
2023-11-21,15.700000,15.870000,15.310000,15.390000,15.390000,534500
2023-11-22,16.400000,16.600000,14.550000,15.800000,15.800000,1184800
2023-11-24,15.920000,18.340000,15.820000,17.580000,17.580000,1871700
2023-11-27,17.580000,19.775999,17.280001,19.020000,19.020000,2014300
2023-11-28,19.000000,19.780001,18.254999,19.049999,19.049999,1184800
2023-11-29,18.980000,19.450001,17.570000,17.660000,17.660000,988900
2023-11-30,18.110001,18.410000,17.580000,17.610001,17.610001,618400
2023-12-01,17.540001,18.379999,16.959999,18.270000,18.270000,636100
2023-12-04,17.870001,18.305000,16.980000,17.590000,17.590000,757200
2023-12-05,17.120001,17.500000,16.900000,17.110001,17.110001,497300
2023-12-06,17.500000,17.879999,16.941000,17.059999,17.059999,666500
2023-12-07,17.000000,17.216999,16.100000,16.129999,16.129999,817500
2023-12-08,16.010000,16.559999,15.710000,16.469999,16.469999,540900
2023-12-11,16.530001,17.150000,16.280001,16.809999,16.809999,460600
2023-12-12,17.170000,17.170000,16.726999,17.040001,17.040001,279400
2023-12-13,16.910000,17.370001,16.719999,17.370001,17.370001,526700
2023-12-14,17.750000,18.350000,17.410000,17.860001,17.860001,734900
2023-12-15,18.080000,18.299999,17.500000,17.600000,17.600000,1158300
2023-12-18,18.049999,18.150000,17.010000,17.299999,17.299999,745200
2023-12-19,17.250000,17.360001,16.450001,16.959999,16.959999,865800
2023-12-20,16.719999,17.240000,15.750000,15.750000,15.750000,736000
2023-12-21,16.469999,17.096001,15.977000,16.200001,16.200001,589600
2023-12-22,16.070000,16.135000,15.720000,15.800000,15.800000,316400
2023-12-26,16.180000,16.980000,16.118000,16.860001,16.860001,458000
2023-12-27,17.379999,18.490000,17.150000,17.260000,17.260000,993200
2023-12-28,17.660000,18.355000,17.020000,17.059999,17.059999,970900
2023-12-29,17.290001,17.879999,16.760000,16.799999,16.799999,1013000
2024-01-02,16.690001,16.719999,15.650000,15.800000,15.800000,749000
2024-01-03,15.600000,15.670000,15.140000,15.530000,15.530000,534800
2024-01-04,15.410000,15.670000,15.224000,15.520000,15.520000,326100
2024-01-05,15.640000,15.730000,15.160000,15.210000,15.210000,307700
2024-01-08,15.070000,15.190000,14.600000,15.110000,15.110000,477700
2024-01-09,14.800000,15.074000,14.700000,14.890000,14.890000,344700
2024-01-10,14.900000,14.920000,14.230000,14.320000,14.320000,575700
2024-01-11,14.720000,15.090000,14.300000,14.900000,14.900000,650800
2024-01-12,14.850000,15.262000,14.443000,14.500000,14.500000,334000
2024-01-16,14.300000,14.330000,13.230000,13.500000,13.500000,784600
2024-01-17,13.040000,13.250000,12.830000,13.230000,13.230000,615100
2024-01-18,13.320000,13.500000,12.625000,12.730000,12.730000,391700
2024-01-19,12.610000,12.740000,12.021000,12.600000,12.600000,802100
2024-01-22,12.070000,12.350000,11.440000,11.560000,11.560000,992000
2024-01-23,12.020000,12.300000,11.740000,12.250000,12.250000,805500
2024-01-24,12.570000,12.790000,11.920000,11.930000,11.930000,672200
2024-01-25,12.000000,12.140000,11.870000,11.990000,11.990000,450000
2024-01-26,12.000000,12.250000,12.000000,12.140000,12.140000,506200
2024-01-29,12.200000,12.465000,11.950000,12.370000,12.370000,550100
2024-01-30,12.060000,12.185000,10.459000,10.780000,10.780000,1366600
2024-01-31,10.460000,10.590000,9.950000,10.160000,10.160000,1181700
2024-02-01,10.340000,10.440000,9.930000,10.110000,10.110000,754600
2024-02-02,10.020000,10.440000,9.880000,10.240000,10.240000,749200
2024-02-05,10.200000,10.200000,9.510000,9.535000,9.535000,796700
2024-02-06,9.870000,10.950000,9.860000,10.730000,10.730000,1282800
2024-02-07,10.620000,10.710000,10.230000,10.330000,10.330000,662400
2024-02-08,10.380000,10.880000,10.060000,10.560000,10.560000,670100
2024-02-09,10.660000,10.790000,10.380000,10.680000,10.680000,289200
2024-02-12,10.680000,10.986000,10.620000,10.780000,10.780000,638000
2024-02-13,10.350000,10.490000,9.730000,9.740000,9.740000,740900
2024-02-14,10.020000,10.180000,9.850000,9.940000,9.940000,554800
2024-02-15,10.060000,10.410000,9.900000,10.270000,10.270000,404900
2024-02-16,10.400000,10.760000,10.230000,10.550000,10.550000,610200
2024-02-20,10.400000,10.410000,10.040000,10.240000,10.240000,451400
2024-02-21,10.310000,10.779000,10.010000,10.110000,10.110000,544000
2024-02-22,10.300000,10.600000,10.280000,10.390000,10.390000,379800
2024-02-23,10.500000,10.590000,10.120000,10.350000,10.350000,358800
2024-02-26,10.460000,11.080000,10.390000,10.880000,10.880000,664800
2024-02-27,11.060000,11.640000,11.060000,11.230000,11.230000,895400
2024-02-28,11.100000,11.200000,10.500000,10.550000,10.550000,580600
2024-02-29,10.950000,11.220000,10.778000,10.790000,10.790000,478300
2024-03-01,10.920000,11.445000,10.763000,11.230000,11.230000,460200
2024-03-04,11.360000,11.380000,10.810000,10.830000,10.830000,523600
2024-03-05,10.630000,10.850000,10.540000,10.580000,10.580000,416000
2024-03-06,10.950000,11.600000,10.950000,11.220000,11.220000,608300
2024-03-07,11.230000,11.350000,10.950000,11.170000,11.170000,506400
2024-03-08,11.290000,11.630000,11.200000,11.410000,11.410000,533500
2024-03-11,12.010000,13.930000,11.970000,12.760000,12.760000,2341400
2024-03-12,13.800000,14.770000,13.070000,14.480000,14.480000,2780700
2024-03-13,14.700000,15.330000,14.130000,14.700000,14.700000,1674900
2024-03-14,14.510000,14.720000,13.550000,13.610000,13.610000,1295100
2024-03-15,14.060000,16.450001,13.900000,15.370000,15.370000,3262800
2024-03-18,17.670000,19.924999,15.050000,15.500000,15.500000,7552800
2024-03-19,15.840000,18.247999,14.500000,17.910000,17.910000,4857100
2024-03-20,18.209999,18.900000,17.360001,18.540001,18.540001,2952400
2024-03-21,18.299999,19.580000,17.170000,17.799999,17.799999,2440800
2024-03-22,17.400000,19.080000,16.875000,18.730000,18.730000,1923500
2024-03-25,18.200001,19.090000,17.180000,17.520000,17.520000,1514900
2024-03-26,17.969999,18.030001,17.230000,17.400000,17.400000,793200
2024-03-27,17.790001,18.790001,17.570000,18.790001,18.790001,1792200
2024-03-28,19.709999,21.200001,19.115000,20.570000,20.570000,4156500
2024-04-01,20.340000,21.080000,19.730000,20.400000,20.400000,1544800
2024-04-02,18.820000,18.920000,17.520000,17.799999,17.799999,2951100
